machine_type,vibration_rms,temperature_motor,current_phase_avg,pressure_level,rpm,operating_mode,hours_since_maintenance,ambient_temp,rul_hours,hour,day_of_week,month,temp_over_rpm,vibration_x_current,maintenance_urgency
Robotic Arm,0.45,57.59,3.23,20.0,134.9,idle,45.9,16.6,9.25,9,5,1,0.42376747608535686,1.4535,4.478048780487804
Pump,1.98,53.58,12.25,,1214.7,normal,59.93,12.7,17.74,12,5,1,0.044073373365139425,24.255,3.197972251867663
CNC,0.91,43.3,4.27,23.1,885.4,idle,6.18,9.1,74.4,4,3,1,0.04884927797833935,3.8857,0.0819628647214854
CNC,2.45,51.02,10.86,52.3,3033.0,normal,189.52,16.4,0.5,11,5,1,0.01681608437705999,26.607,126.34666666666668
Pump,2.02,59.87,12.77,87.6,1208.9,normal,46.63,10.9,46.41,10,6,1,0.04948342838251094,25.7954,0.9835477747310695
Pump,0.6,39.89,3.54,15.5,541.1,idle,141.78,8.2,43.82,5,0,1,0.07358420955543257,2.124,3.1633199464524764
CNC,0.96,49.12,4.4,22.8,888.4,idle,106.08,14.8,0.5,23,1,1,0.05522824375983809,4.224,70.72
CNC,2.24,60.16,11.38,73.9,2819.8,normal,41.98,15.3,33.31,6,6,1,0.02132728304027226,25.491200000000003,1.2235499854269891
Robotic Arm,0.45,31.77,2.58,14.5,153.0,idle,454.43,17.5,0.5,0,4,1,0.2062987012987013,1.161,302.9533333333333
Pump,2.12,52.25,11.96,103.4,1292.7,normal,73.75,10.7,8.38,14,6,1,0.04038803432016696,25.355200000000004,7.862473347547974
Compressor,,51.01,6.58,45.5,732.9,idle,299.06,15.0,36.22,2,2,1,0.06950538220466003,,8.034927458355723
Pump,2.94,76.25,16.5,145.8,1874.7,peak,409.27,9.7,0.5,8,1,1,0.0406514901103588,48.51,272.84666666666664
Pump,1.75,63.39,11.51,106.7,1276.5,normal,32.87,12.2,49.27,21,4,1,0.04962035225048924,20.1425,0.6538691068231549
Robotic Arm,1.01,41.52,5.79,44.5,350.1,normal,2.7,8.6,88.34,19,4,1,0.11825690686414127,5.8479,0.03022162525184688
Compressor,0.97,44.7,6.08,49.7,726.3,idle,93.62,14.1,2.77,3,6,1,0.06146019524267841,5.8976,24.83289124668435
CNC,2.66,58.78,13.06,76.3,2877.8,normal,5.18,10.7,70.11,18,4,1,0.02041822981797971,34.7396,0.07284488820137815
Robotic Arm,1.55,39.03,5.7,47.5,361.7,normal,469.7,17.1,35.61,22,3,1,0.10760959470636891,8.835,12.82982791586998
Robotic Arm,0.37,32.96,2.47,18.3,155.8,idle,48.08,14.4,45.97,5,5,1,0.21020408163265306,0.9139,1.0236321055993187
Robotic Arm,1.3,46.64,5.84,40.1,346.5,normal,79.75,17.9,66.94,6,0,1,0.1342158273381295,7.592,1.1738298498675301
Compressor,2.5,67.51,15.1,96.5,1793.8,normal,95.43,9.8,0.5,20,6,1,0.037614218854468466,37.75,63.620000000000005
Pump,0.6,40.11,3.41,16.7,502.1,idle,35.37,13.1,35.93,0,6,1,0.07972570065593321,2.046,0.9577579203899268
Compressor,4.36,67.49,21.37,148.1,2420.8,peak,71.65,17.0,35.01,9,3,1,0.027867701709472288,93.17320000000001,1.989725076367676
Robotic Arm,0.43,32.32,2.25,18.7,147.6,idle,166.33,15.1,0.5,3,5,1,0.21749663526244953,0.9675,110.88666666666667
Compressor,3.18,59.08,20.26,153.2,2457.4,peak,33.0,12.3,40.63,6,4,1,0.024031890660592255,64.42680000000001,0.7926975738650012
Pump,2.74,53.62,12.82,121.7,1247.7,normal,342.86,10.6,19.29,21,1,1,0.042940658284616,35.1268,16.897979300147856
CNC,0.89,42.09,4.05,,889.9,idle,197.62,15.0,0.5,18,5,1,0.04724435963632283,3.6045,131.74666666666667
CNC,0.74,43.16,5.46,21.5,881.9,idle,88.17,8.3,0.5,5,1,1,0.048884358364480685,4.0404,58.78
Pump,0.67,44.88,3.46,23.9,537.6,idle,11.33,14.9,70.8,0,4,1,0.08332714444857037,2.3182,0.15779944289693595
Compressor,1.2,71.91,7.04,,669.1,idle,454.28,13.5,18.32,8,2,1,0.10731234144157588,8.448,23.513457556935816
Robotic Arm,0.44,34.46,2.59,19.1,148.2,idle,330.2,14.3,0.5,3,5,1,0.23096514745308314,1.1396,220.13333333333333
CNC,2.98,57.88,13.99,85.6,2948.7,normal,70.73,13.9,4.56,11,0,1,0.019622334474692343,41.6902,12.721223021582736
Robotic Arm,1.25,41.57,5.95,45.5,340.3,normal,19.12,17.6,57.57,2,3,1,0.12179900380896572,7.4375,0.32644698651186616
Pump,1.88,59.64,11.39,125.5,1277.4,normal,300.57,10.6,0.5,19,3,1,0.04665206508135169,21.4132,200.38
Pump,2.01,66.71,12.45,89.2,1345.7,normal,24.65,17.8,57.48,13,4,1,0.049535902576668886,25.024499999999996,0.4215116279069767
CNC,2.04,54.9,10.62,74.8,3013.7,normal,244.43,16.9,12.16,14,3,1,0.018210767240521446,21.6648,18.57370820668693
CNC,3.07,63.38,11.27,89.4,2924.1,normal,95.62,12.1,45.12,21,6,1,0.021667635294519847,34.5989,2.0732870771899394
Robotic Arm,,33.13,2.39,15.4,154.2,idle,93.37,14.5,0.5,4,6,1,0.21346649484536084,,62.24666666666667
Robotic Arm,2.21,81.41,11.47,64.2,419.4,peak,156.88,15.4,2.18,18,2,1,0.19364890580399619,25.3487,49.33333333333333
Pump,0.62,41.3,3.95,20.1,,idle,65.17,12.4,15.69,1,0,1,,2.4490000000000003,3.9047333732774123
Compressor,0.93,48.24,6.68,42.4,727.4,idle,24.23,10.6,58.77,22,4,1,0.06622734761120264,6.2124,0.4053873180525347
CNC,2.46,53.5,13.33,87.1,3024.4,normal,214.61,11.9,41.97,8,2,1,0.01768361208435248,32.7918,4.9944147079357695
CNC,2.44,52.25,12.35,59.5,2918.0,normal,192.5,13.3,0.5,14,5,1,0.01789996574169236,30.133999999999997,128.33333333333334
Pump,,36.21,3.31,22.8,528.2,idle,113.0,10.1,0.5,0,2,1,0.06842403628117913,,75.33333333333333
CNC,0.89,40.88,4.51,20.9,892.3,idle,58.98,13.4,24.49,0,0,1,0.045762901600806004,4.0139,2.313848568065908
Pump,0.6,62.18,4.23,20.6,485.6,idle,320.32,13.2,22.11,2,1,1,0.12778462803123716,2.5380000000000003,13.86066637819126
Robotic Arm,0.46,65.42,3.15,16.4,133.8,idle,47.35,12.4,3.03,18,4,1,0.48531157270029673,1.449,11.74937965260546
Pump,0.61,43.36,3.64,19.1,543.0,idle,16.45,8.2,55.24,23,2,1,0.07970588235294118,2.2204,0.2924964438122333
Pump,0.55,42.22,3.34,22.6,508.9,idle,236.67,9.5,0.5,3,6,1,0.08280054912727985,1.837,157.78
Compressor,0.94,46.92,6.68,48.6,721.9,idle,40.22,8.5,56.17,22,3,1,0.06490524277216767,6.2791999999999994,0.7035158299807591
CNC,0.97,44.26,5.18,21.4,916.4,idle,54.87,11.7,25.71,5,5,1,0.04824504033137127,5.0245999999999995,2.0542867839760386
Pump,1.9,64.25,11.63,111.5,1331.0,normal,4.82,10.8,66.48,17,4,1,0.04823573573573574,22.097,0.07142857142857142
CNC,0.77,42.54,4.57,20.9,873.6,idle,155.25,17.5,0.5,1,4,1,0.04863937800137205,3.5189000000000004,103.5
Robotic Arm,1.2,41.55,5.41,42.4,355.4,normal,400.18,13.3,42.6,18,1,1,0.11658249158249158,6.492,9.178440366972477
CNC,0.91,70.35,5.1,21.8,789.7,idle,124.9,10.1,15.84,3,1,1,0.0889717971417731,4.641,7.41686460807601
Compressor,2.13,64.86,14.78,102.3,1792.3,normal,313.39,10.5,21.88,16,2,1,0.03616795851224001,31.481399999999997,13.697115384615385
Pump,0.7,38.54,3.65,24.1,506.4,idle,186.33,12.0,0.5,1,4,1,0.07595585337012219,2.5549999999999997,124.22000000000001
Robotic Arm,1.27,46.28,5.28,42.1,340.7,normal,15.75,10.7,75.29,8,5,1,0.1354404448346503,6.7056000000000004,0.20644907589461264
Robotic Arm,1.71,49.59,6.39,57.7,333.9,normal,26.5,9.1,3.32,6,4,1,0.14807405195580772,10.9269,6.134259259259259
Compressor,3.32,62.86,19.48,152.7,2523.1,peak,100.97,10.5,0.5,16,0,1,0.024903926151895725,64.6736,67.31333333333333
Robotic Arm,0.39,38.33,2.72,14.5,150.3,idle,16.02,17.3,34.37,11,3,1,0.2533377395902181,1.0608000000000002,0.4529262086513995
Compressor,2.38,63.3,13.53,104.9,1786.3,normal,38.33,17.7,40.27,23,1,1,0.03541655010350808,32.2014,0.9287618124545673
CNC,2.13,53.99,15.96,61.0,2871.8,normal,90.6,14.6,51.19,16,0,1,0.018793511556669452,33.9948,1.7359647442038704
Compressor,1.03,50.54,5.66,48.7,757.6,idle,335.84,13.9,21.49,0,3,1,0.06662272607434748,5.8298000000000005,14.932859048465986
Robotic Arm,0.45,31.03,2.33,14.9,146.1,idle,115.7,8.3,0.5,22,4,1,0.21094493541808296,1.0485,77.13333333333334
CNC,,58.4,11.1,89.1,3039.0,normal,266.04,10.6,0.5,11,4,1,0.019210526315789473,,177.36
Compressor,2.3,57.72,14.0,106.2,1656.1,normal,77.97,14.5,18.42,12,5,1,0.03483193530867178,32.199999999999996,4.014933058702368
Robotic Arm,0.4,33.7,2.47,17.4,152.9,idle,21.22,15.3,62.9,0,1,1,0.21897335932423653,0.9880000000000001,0.3320813771517997
Pump,1.35,58.19,4.25,21.3,504.9,idle,260.85,8.1,2.98,22,2,1,0.11502273176517099,5.737500000000001,65.54020100502512
Pump,2.57,79.19,15.77,88.2,1203.8,normal,60.95,12.5,19.49,8,2,1,0.06572875166002656,40.52889999999999,2.9746217667154715
Pump,1.74,50.74,11.63,101.5,1278.8,normal,29.42,14.7,41.88,18,5,1,0.03964681981559619,20.2362,0.6861007462686567
Compressor,0.99,45.17,5.85,48.3,728.9,idle,3.4,12.6,79.61,1,4,1,0.06188518975202083,5.791499999999999,0.042178389777943186
Pump,1.8,62.66,11.63,,1237.8,normal,196.25,15.6,0.5,11,4,1,0.050581207620277686,20.934,130.83333333333334
Compressor,1.07,48.26,,47.9,723.3,idle,82.15,17.9,11.35,20,6,1,0.06662984950987161,,6.651821862348179
Pump,1.91,49.95,12.72,117.0,1253.0,normal,196.48,17.2,87.1,6,0,1,0.03983253588516747,24.2952,2.2301929625425654
Robotic Arm,1.7,57.77,9.51,59.4,491.6,peak,24.6,16.3,30.55,12,4,1,0.11727568006496143,16.166999999999998,0.7797147385103012
CNC,0.87,40.37,5.26,20.3,862.0,idle,71.53,16.7,11.94,13,0,1,0.04677867902665121,4.5762,5.527820710973725
CNC,6.83,83.61,23.18,106.7,3859.6,peak,57.75,16.8,20.27,15,4,1,0.021657255348909495,158.3194,2.7150916784203103
Pump,2.1,56.42,11.01,108.8,1319.7,normal,225.7,9.5,0.5,16,5,1,0.04271976981903536,23.121000000000002,150.46666666666667
Pump,1.86,67.96,11.45,88.5,1288.4,normal,118.5,17.2,0.5,6,2,1,0.05270668527997517,21.297,79.0
Robotic Arm,0.37,29.92,2.46,18.5,149.7,idle,68.13,17.3,10.79,1,1,1,0.19854014598540148,0.9102,5.778625954198473
Pump,0.7,44.4,3.89,21.3,519.5,idle,18.38,10.6,62.47,2,5,1,0.08530259365994236,2.723,0.28958563100677487
Pump,0.56,38.1,3.58,17.9,511.9,idle,425.95,17.0,0.5,0,2,1,0.07428348605966076,2.0048000000000004,283.96666666666664
Pump,0.56,43.86,3.4,16.2,565.5,idle,100.65,15.6,0.5,12,1,1,0.07742277140335392,1.9040000000000001,67.10000000000001
Compressor,1.02,50.55,6.3,46.5,,idle,296.21,10.0,39.07,23,1,1,,6.426,7.392313451459945
Compressor,0.91,51.97,5.89,47.6,777.2,idle,42.15,12.7,54.24,0,4,1,0.0667823181701362,5.3599,0.7630340333091962
Compressor,2.41,51.26,,111.3,1719.6,normal,287.73,11.3,47.55,14,1,1,0.029791933046611648,,5.926467559217302
Pump,1.95,55.37,11.41,102.6,1228.5,normal,29.97,10.7,63.07,17,5,1,0.045034566897112646,22.2495,0.46776962697050106
Robotic Arm,1.63,53.97,8.36,60.6,516.0,peak,48.53,11.2,30.39,6,0,1,0.10439071566731141,13.626799999999998,1.5460337687161516
CNC,2.03,64.84,12.44,56.8,2864.4,normal,152.88,8.7,0.5,22,3,1,0.022628603336357925,25.253199999999996,101.92
Compressor,0.94,48.68,6.45,44.2,727.1,idle,15.33,10.7,78.17,1,4,1,0.06685894794671061,6.063,0.19363395225464192
Compressor,2.3,67.44,14.19,98.2,1654.9,normal,19.02,15.4,59.59,4,1,1,0.04072709704692312,32.63699999999999,0.3139131869945535
CNC,3.14,52.66,10.44,68.0,2814.9,normal,104.95,14.8,36.84,7,1,1,0.018700948187080506,32.7816,2.773520084566596
Robotic Arm,1.34,39.31,6.03,41.8,335.8,normal,539.86,13.4,35.81,13,0,1,0.11671615201900237,8.080200000000001,14.666123336049987
Robotic Arm,0.46,35.71,2.64,20.2,151.8,idle,291.38,13.5,27.92,23,1,1,0.23370418848167537,1.2144000000000001,10.075380359612724
Pump,0.62,36.5,3.31,16.1,522.0,idle,163.28,13.3,0.5,2,3,1,0.06978967495219886,2.0522,108.85333333333334
Pump,1.87,53.68,12.42,126.3,1307.4,normal,144.9,16.9,0.5,8,2,1,0.04102720880464689,23.2254,96.60000000000001
Robotic Arm,0.52,33.86,2.37,15.7,150.7,idle,470.63,16.5,34.68,23,3,1,0.22320369149637442,1.2324000000000002,13.190302690582959
Compressor,2.18,59.94,13.7,96.8,1682.9,normal,255.99,10.5,79.28,7,0,1,0.035595938001068944,29.866,3.1887144992526157
Pump,0.5,42.92,3.42,24.2,529.8,idle,87.02,11.4,0.5,22,0,1,0.08085908063300679,1.71,58.01333333333333
Compressor,1.04,48.57,6.2,42.5,720.7,idle,79.78,8.6,0.5,4,6,1,0.06729943189691007,6.448,53.18666666666667
Pump,1.82,60.41,12.6,106.1,1250.6,normal,35.22,9.3,46.92,0,5,1,0.0482662192393736,22.932,0.7349749582637729
Compressor,2.38,62.14,14.42,109.4,1775.7,normal,61.52,11.9,12.11,10,5,1,0.03497495356559915,34.3196,4.69260106788711
CNC,0.8,45.23,4.99,24.5,867.2,idle,17.27,17.6,57.34,23,2,1,0.05209629117714812,3.9920000000000004,0.29602331162152895
CNC,2.22,,14.64,63.2,2948.7,normal,21.97,14.9,53.33,10,5,1,,32.500800000000005,0.4043806368488864
Robotic Arm,0.65,40.65,2.65,11.5,133.3,idle,573.1,15.4,2.58,22,1,1,0.30268056589724496,1.7225,160.08379888268158
Pump,0.67,41.97,3.57,21.7,537.2,idle,9.28,14.4,71.57,17,4,1,0.07798216276477145,2.3919,0.12787653300261817
CNC,2.19,58.56,5.71,25.1,842.3,idle,2.17,15.6,3.13,1,4,1,0.06944147990039133,12.5049,0.5254237288135594
Pump,2.21,48.56,16.58,99.8,1184.8,normal,154.53,16.7,31.07,18,0,1,0.04095125653567212,36.641799999999996,4.818521983161833
Robotic Arm,0.37,29.66,2.26,16.7,152.7,idle,0.63,17.0,93.42,6,3,1,0.1929733246584255,0.8361999999999999,0.006672315187460284
Compressor,2.43,64.02,14.36,114.2,1773.0,normal,345.05,13.0,11.3,18,2,1,0.03608793686583991,34.894800000000004,28.052845528455283
Robotic Arm,1.34,39.39,5.65,48.0,361.3,normal,279.86,13.3,39.44,11,1,1,0.10872205354678444,7.571000000000001,6.920375865479723
CNC,2.2,53.54,,53.5,2828.4,normal,40.58,15.3,34.71,5,6,1,0.018922739803491906,,1.1363763651638197
Pump,2.13,68.29,13.95,111.1,1171.4,normal,443.78,13.0,35.97,18,2,1,0.05824803821221426,29.713499999999996,12.003786854206112
Compressor,0.98,48.01,5.89,43.9,756.0,idle,472.43,11.6,0.5,7,3,1,0.06342140026420079,5.7722,314.9533333333333
CNC,2.73,59.99,11.43,96.0,2711.0,normal,332.92,8.6,15.94,11,2,1,0.022120206489675515,31.203899999999997,19.652892561983474
Robotic Arm,0.4,32.68,2.43,18.3,150.7,idle,384.95,8.0,57.83,2,1,1,0.21542518127883983,0.9720000000000001,6.5434302226755054
Robotic Arm,1.37,39.45,5.84,40.8,345.1,normal,112.32,8.8,0.5,21,2,1,0.1139843975729558,8.0008,74.88
Pump,0.64,40.9,3.74,18.4,530.0,idle,43.1,17.3,33.43,2,5,1,0.07702448210922787,2.3936,1.251815277374383
Compressor,1.09,48.36,6.35,49.2,762.5,idle,18.18,8.4,60.42,3,1,1,0.06333988212180747,6.9215,0.29599478997069356
CNC,0.95,46.15,4.34,25.2,906.0,idle,180.07,8.1,0.5,1,5,1,0.05088202866593164,4.122999999999999,120.04666666666667
Compressor,4.85,68.83,15.37,117.7,1696.1,normal,37.15,8.0,13.1,21,6,1,0.0405574214837075,74.54449999999999,2.6347517730496453
Pump,0.5,,3.59,20.1,552.1,idle,160.8,11.0,0.5,0,3,1,,1.795,107.2
Pump,2.17,49.87,11.98,81.8,1284.3,normal,72.87,9.4,9.27,13,6,1,0.038800280090251306,25.9966,7.095423563777995
Pump,0.56,41.21,3.89,22.3,532.4,idle,195.56,10.6,88.02,5,0,1,0.07725909261342333,2.1784000000000003,2.196809705684116
Compressor,2.6,59.45,13.13,99.0,1750.0,normal,80.38,17.8,13.12,18,6,1,0.03395202741290691,34.138000000000005,5.692634560906516
Robotic Arm,0.53,37.69,2.48,16.3,139.5,idle,551.73,9.7,23.95,1,1,1,0.2682562277580071,1.3144,22.113426853707416
Pump,2.17,72.63,14.2,125.5,1117.5,normal,328.77,12.5,13.66,10,1,1,0.0649351810460438,30.813999999999997,22.42633015006821
Robotic Arm,0.41,34.46,2.38,19.3,151.9,idle,284.61,13.2,14.97,5,3,1,0.22537606278613473,0.9757999999999999,17.821540388227927
Robotic Arm,0.39,31.6,2.22,18.8,156.1,idle,481.38,11.6,0.5,3,5,1,0.2011457670273711,0.8658000000000001,320.92
Robotic Arm,0.44,52.31,3.03,15.5,138.6,idle,32.08,13.5,18.3,3,4,1,0.3747134670487106,1.3332,1.6621761658031087
CNC,2.8,59.43,11.72,72.1,2916.2,normal,127.75,12.5,14.04,5,2,1,0.020372274784039492,32.816,8.494015957446809
Compressor,3.45,60.55,20.27,157.0,2510.9,peak,2.32,10.9,47.94,11,5,1,0.024105258967315576,69.9315,0.047404985696771554
CNC,0.89,41.53,5.27,21.2,915.3,idle,5.1,14.6,89.52,11,1,1,0.045323583979046164,4.6903,0.056341140079540435
Robotic Arm,1.15,38.68,5.39,44.3,357.9,normal,324.6,14.6,0.5,21,4,1,0.10777375313457788,6.198499999999999,216.4
Compressor,3.59,56.35,19.62,155.0,2446.8,peak,331.98,11.7,3.3,11,3,1,0.02302067162349865,70.4358,77.20465116279071
Robotic Arm,0.45,32.0,2.43,,155.2,idle,5.8,9.2,85.24,22,4,1,0.20486555697823305,1.0935000000000001,0.06725417439703155
CNC,3.95,70.91,15.38,72.3,2746.5,normal,330.37,14.2,18.49,8,2,1,0.02580891719745223,60.751000000000005,16.95074397126732
Pump,2.25,70.13,14.84,82.7,1152.5,normal,458.6,8.1,21.15,9,3,1,0.06079757260511486,33.39,20.70428893905192
Compressor,2.45,50.42,14.2,110.7,1697.3,normal,96.27,11.6,0.5,12,0,1,0.02968851204145322,34.79,64.17999999999999
